instrumento_nombre,instrumento,nota,nota_nombre,volumen,dura,empieza,termina
Percussion,-1,65,F4,86,0.15789475000000008,1.8947370000000001,2.05263175
Percussion,-1,66,F#4,86,0.15789474999999964,2.2105265000000003,2.36842125
Percussion,-1,65,F4,86,0.15789475000000008,2.36842125,2.526316
Percussion,-1,48,C#3,64,0.15263159166666673,2.526316,2.6789475916666667
Percussion,-1,54,F#3,63,0.15000001250000006,2.8421055,2.9921055125000002
Percussion,-1,50,D#3,50,0.14736843333333338,3.0000002500000007,3.147368683333334
Percussion,-1,49,C#3,61,0.1515789599999997,3.1578950000000003,3.30947396
Percussion,-1,43,G2,33,0.12631579999999998,3.31578975,3.44210555
Percussion,-1,54,F#3,66,0.13815790625000013,3.4736845,3.61184240625
Percussion,-1,41,F2,22,0.07894737499999982,3.5526318750000003,3.63157925
Percussion,-1,50,D#3,50,0.13157895833333333,3.63157925,3.7631582083333335
Percussion,-1,41,F2,25,0.07894737500000026,3.710526625,3.7894740000000002
Percussion,-1,48,C#3,64,0.15157896000000007,3.789474,3.94105296
Percussion,-1,54,F#3,71,0.1500000124999996,4.1052635,4.2552635125
Percussion,-1,55,G#3,69,0.15789475000000053,4.26315825,4.421053000000001
Percussion,-1,50,D#3,73,0.15789474999999964,4.421053000000001,4.57894775
Percussion,-1,54,F#3,73,0.13815790625000046,4.7368425,4.875000406250001
Percussion,-1,43,G2,22,0.07894737500000026,4.815789875,4.89473725
Percussion,-1,51,D#3,55,0.1315789583333332,4.89473725,5.026316208333333
Percussion,-1,43,G2,22,0.07894737499999938,4.973684625000001,5.052632
Percussion,-1,50,D#3,66,0.15789475000000053,5.052632,5.2105267500000005
Percussion,-1,58,A#3,73,0.15789474999999964,5.3684215,5.52631625
Percussion,-1,55,G#3,59,0.15789475000000053,5.52631625,5.684211
Percussion,-1,49,C#3,58,0.14210527499999975,5.684211,5.826316275
Percussion,-1,41,F2,20,0.07894737499999938,5.763158375000001,5.84210575
Percussion,-1,43,G2,17,0.07894737500000026,5.84210575,5.921053125
Percussion,-1,41,F2,26,0.07894737500000026,5.921053125,6.0000005000000005
Percussion,-1,58,A#3,80,0.15789474999999964,6.000000500000001,6.157895250000001
Percussion,-1,55,G#3,66,0.15789475000000053,6.15789525,6.315790000000001
Percussion,-1,50,D#3,72,0.15789474999999964,6.315790000000001,6.47368475
Percussion,-1,58,A#3,84,0.15789475000000053,6.6315795,6.7894742500000005
Percussion,-1,55,G#3,69,0.15789474999999964,6.7894742500000005,6.947369
Percussion,-1,50,D#3,73,0.15789475000000053,6.947369,7.105263750000001
Percussion,-1,58,A#3,89,0.15789474999999964,7.2631585,7.42105325
Percussion,-1,55,G#3,72,0.15789475000000053,7.42105325,7.5789480000000005
Percussion,-1,50,D#3,66,0.15789474999999964,7.5789480000000005,7.73684275
Percussion,-1,41,F2,22,0.07894737500000026,7.815790125,7.894737500000001
Percussion,-1,58,A#3,73,0.15789474999999964,7.894737500000001,8.05263225
Percussion,-1,41,F2,26,0.07894737500000026,7.973684875,8.05263225
Percussion,-1,55,G#3,59,0.15789475000000053,8.05263225,8.210527
Percussion,-1,50,D#3,69,0.15789474999999875,8.210527,8.36842175
Percussion,-1,54,F#3,66,0.13815790625000046,8.5263165,8.664474406250001
Percussion,-1,55,G#3,66,0.15789475000000053,8.68421125,8.842106000000001
Percussion,-1,49,C#3,62,0.1421052749999987,8.842106000000001,8.984211275
Percussion,-1,58,A#3,84,0.15789475000000053,9.1578955,9.315790250000001
Percussion,-1,52,E3,55,0.13157895833333258,9.315790250000001,9.447369208333333
Percussion,-1,50,D#3,73,0.15789475000000053,9.473685,9.63157975
Percussion,-1,43,G2,28,0.07894737500000026,9.63157975,9.710527125
Percussion,-1,43,G2,33,0.07894737500000026,9.710527125,9.7894745
Percussion,-1,58,A#3,89,0.15789475000000053,9.7894745,9.947369250000001
Percussion,-1,55,G#3,72,0.15789474999999875,9.947369250000001,10.105264
Percussion,-1,49,D3,56,0.14210527500000047,10.105264,10.247369275
Percussion,-1,45,A2,17,0.07894737500000026,10.184211375,10.26315875
Percussion,-1,45,A2,20,0.07894737500000026,10.26315875,10.342106125
Percussion,-1,45,A2,20,0.07894737500000026,10.342106125,10.421053500000001
Percussion,-1,54,F#3,60,0.13815790624999913,10.421053500000001,10.55921140625
Percussion,-1,43,G2,17,0.07894737499999849,10.500000875000001,10.57894825
Percussion,-1,51,D#3,46,0.13157895833333377,10.57894825,10.710527208333334
Percussion,-1,43,G2,22,0.07894737500000026,10.657895625,10.736843
Percussion,-1,50,D#3,69,0.15789475000000053,10.736843,10.89473775
Percussion,-1,58,A#3,80,0.15789475000000053,11.0526325,11.21052725
Percussion,-1,55,G#3,66,0.15789475000000053,11.21052725,11.368422
Percussion,-1,50,D#3,72,0.15789475000000053,11.368422,11.526316750000001
Percussion,-1,54,F#3,66,0.13815790625000046,11.6842115,11.82236940625
Percussion,-1,43,G2,20,0.07894737500000026,11.763158875,11.84210625
Percussion,-1,50,D#3,54,0.13157895833333377,11.84210625,11.973685208333334
Percussion,-1,41,F2,26,0.07894737500000026,11.921053625,12.000001000000001
Percussion,-1,50,D#3,73,0.15789474999999875,12.000001000000001,12.15789575
Percussion,-1,58,A#3,89,0.15789475000000053,12.3157905,12.47368525
Percussion,-1,55,G#3,72,0.15789475000000053,12.47368525,12.631580000000001
Percussion,-1,48,C#3,58,0.1421052749999987,12.631580000000001,12.773685275
Percussion,-1,54,F#3,61,0.13815790625000046,12.9473695,13.085527406250002
Percussion,-1,55,G#3,59,0.15789474999999875,13.105264250000001,13.263159
Percussion,-1,49,C#3,60,0.14210527500000047,13.263158999999998,13.405264274999999
Percussion,-1,54,F#3,66,0.13815790625000046,13.578948500000001,13.717106406250002
Percussion,-1,55,G#3,66,0.15789474999999875,13.736843250000002,13.894738
Percussion,-1,48,C#3,62,0.14210527500000047,13.894738,14.036843275
Percussion,-1,58,A#3,84,0.15789474999999875,14.210527500000003,14.368422250000002
Percussion,-1,55,G#3,69,0.15789475000000053,14.36842225,14.526317
Percussion,-1,49,C#3,63,0.14210527500000047,14.526317,14.668422275000001
Percussion,-1,58,A#3,89,0.15789475000000053,14.8421065,15.00000125
Percussion,-1,55,G#3,72,0.15789475000000053,15.00000125,15.157896000000001
Percussion,-1,49,D3,56,0.14210527500000047,15.157896,15.300001275
Percussion,-1,45,A2,17,0.07894737500000026,15.236843375000001,15.315790750000001
Percussion,-1,45,A2,20,0.07894737499999849,15.315790750000001,15.394738125
Percussion,-1,45,A2,20,0.07894737500000026,15.394738125,15.4736855
Percussion,-1,54,F#3,60,0.13815790625000046,15.4736855,15.611843406250001
Percussion,-1,43,G2,17,0.07894737500000026,15.552632875,15.63158025
Percussion,-1,51,D#3,46,0.13157895833333377,15.63158025,15.763159208333335
Percussion,-1,43,G2,22,0.07894737500000026,15.710527625000001,15.789475000000001
Percussion,-1,49,D3,58,0.14210527499999906,15.789475000000001,15.931580275
Percussion,-1,45,A2,17,0.07894737499999849,15.868422375000002,15.94736975
Percussion,-1,45,A2,20,0.07894737500000204,15.94736975,16.026317125000002
Percussion,-1,45,A2,20,0.07894737499999849,16.026317125000002,16.1052645
Percussion,-1,54,F#3,65,0.13815790625000002,16.1052645,16.24342240625
Percussion,-1,43,G2,17,0.07894737500000204,16.184211875,16.26315925
Percussion,-1,51,D#3,50,0.1315789583333332,16.26315925,16.394738208333333
Percussion,-1,43,G2,22,0.07894737500000204,16.342106625,16.421054
Percussion,-1,48,C#3,64,0.1515789600000005,16.421054,16.572632960000004
Percussion,-1,54,F#3,71,0.1500000125000005,16.7368435,16.8868435125
Percussion,-1,50,D#3,57,0.14736843333333383,16.89473825,17.042106683333333
Percussion,-1,49,C#3,65,0.1515789600000005,17.052633,17.204211960000002
Percussion,-1,43,G2,33,0.12631580000000042,17.21052775,17.33684355
Percussion,-1,54,F#3,73,0.13815790625000002,17.3684225,17.506580406250002
Percussion,-1,41,F2,22,0.07894737500000204,17.447369875,17.52631725
Percussion,-1,50,D#3,55,0.1315789583333332,17.52631725,17.657896208333334
Percussion,-1,41,F2,25,0.07894737500000204,17.605264625,17.684212000000002
Percussion,-1,48,C#3,59,0.15157895999999696,17.684212000000002,17.83579096
Percussion,-1,54,F#3,63,0.1500000125000005,18.0000015,18.1500015125
Percussion,-1,55,G#3,59,0.15789475000000053,18.15789625,18.315791
Percussion,-1,50,D#3,69,0.15789475000000053,18.315791,18.47368575
Percussion,-1,54,F#3,66,0.13815790625000002,18.631580500000002,18.769738406250003
Percussion,-1,43,G2,22,0.07894737500000204,18.710527875,18.789475250000002
Percussion,-1,51,D#3,50,0.1315789583333308,18.789475250000002,18.921054208333334
Percussion,-1,43,G2,22,0.07894737499999849,18.868422625,18.94737
Percussion,-1,50,D#3,72,0.15789475000000053,18.94737,19.10526475
Percussion,-1,58,A#3,84,0.15789475000000053,19.2631595,19.42105425
Percussion,-1,55,G#3,69,0.15789475000000053,19.42105425,19.578949
Percussion,-1,49,C#3,62,0.14210527500000011,19.578949,19.721054275
