titulo,tipo,artista,fecha-lanzamiento,generos,id
Pachito E'che / Impuesto de soltería,Single,Alex Tovar y su Orquesta del Hotel Granada,1949,"latin, cumbia, porro",423094ec-7001-4a85-a412-c3ee80178f2e
"Quizás, quizás, quizás / El ladrón",Single,Jolly Land,1964,"latin, cumbia",ac24094f-7cd0-41dc-9c34-c0c01af3827b
Quiero amanecer / La pollera colora,Single,Los Llopis,1969,"latin, cumbia",ff70362d-3422-4b78-a2c4-c6beeed1172f
Sabor De Danza / Ramita De Matimba,Single,Freddy Roland,1969,"latin, cumbia",a863c905-3c79-4e76-bb2d-8f5d1b36cbb2
Olvidame Si Puedes / Es Tarde Ya,Single,Orquesta Hermanos Flores,1970,"latin, cumbia",45c1e42a-6a31-4915-b4a7-b833e134fb2c
"Nunca, nunca, nunca / El mecate",Single,Los Sonor’s,1970,"latin, cumbia",48675c42-7ad4-4a66-9eb0-9d7d257af87b
La bocina / Tu cosita,Single,Los Girasoles,1972,"latin, cumbia",a567e6e0-e230-48c5-863c-e05e24f04ca8
El papasito / Linda mariposa,Single,Grupo Rosado,1974,"latin, cumbia",cee0a802-cbe1-4d95-9a5f-24aed964f845
Las caleñas son como las flores,Single,The Latin Brothers,1976,"salsa, latin, cumbia",2a6a345a-5719-44c0-a1bb-ef2597b37443
Colegiala / Sueñas que te amo,Single,Los Ilusionistas,1977,"latin, cumbia",9060a111-8332-4b5a-9c2f-18b42fadea9c
Cumbia enamorada / La vecina,Single,Los Caribes,1979,"latin, cumbia, vallenato",3ff89479-ad26-45e9-828b-c0b74ce83886
El rock de la langosta / Margarita,Single,Various Artists,1980,"rock, garage rock, latin, cumbia",e1cbb979-fb90-49d8-b23b-29ccfcdfad42
Mi Indecision,Single,Tropical Barrio Pobre,1980,"latin, cumbia",f27de21f-af83-49fe-b358-594e8814af96
Cumbia Reina / Rosa Mar,Single,Orquesta De Los Hnos. Flores,1981,"latin, cumbia",5cc1919b-fae5-48f1-9807-e85ef06d24cd
La cumbia nació en Baru / Las velas encendidas,Single,Sonora Dinamita,1982,"latin, cumbia",caf1327a-e9f2-4c9e-950d-a87b43704dcb
Cuando yo diga / El Profesor rui rua,Single,Los Casinos de Venezuela,1982,"latin, cumbia, porro",359ecf55-b271-42d6-bf69-4a78cc5f5273
Los gustos de Victor Perez / Ron con Coca Cola,Single,Los Solistas,1982,"latin, cumbia",5f32cf9f-d46b-4971-99ae-224af49a45a0
La colegiala,Single,Rodolfo,1982,"latin, cumbia",a57b6a60-4b77-4cb1-8076-84fc709ffac9
Busco un amor / Negrita Caridad,Single,Combo del Caribe,1983,"latin, cumbia, porro",b9080a42-87c8-4e75-b237-67e21259e289
Sorbito de champagne / Increible,Single,Pastor López,1983,"salsa, latin, cumbia",1975dac7-9e43-407e-b530-f731875c7fd3
La cumbia de los cuervos / Primer amor,Single,Juaneco y su Combo,1983,"latin, cumbia",41bde38c-c426-416d-bb97-ac14649ee948
Así son las samarias / Cumbia de pescadores,Single,Memo Argote y Su Grupo Majestad,1983,"salsa, latin, cumbia, porro",2b4f4254-f0d5-4f7c-8808-03c75f9fb281
Su Majestad la cumbia / Francisco el hombre,Single,Las Emes,1983,"latin, cumbia",ad833fc5-e643-42dd-8ccd-ff6f4d2a8dac
Morena / Tiempos idos,Single,Adolfo Pacheco,1984,"latin, cumbia, vallenato",9d7322f6-bdfd-4f5e-856f-d3b339d1ee2d
La guagua / Magdalena,Single,El Combo Candela,1984,"latin, cumbia, porro",44975195-691c-41b6-8fe3-1c3784dea67c
El Pipiripau,Single,Los Plebeyos,1984,"latin, cumbia",841e0088-fa96-431a-951c-dcdd72bd522f
