titulo,tipo,artista,fecha-lanzamiento,generos,id
A su memoria,Album,Celia Cruz,,salsa,770550e9-b616-4c3b-bce5-cee8e1bb2874
Mayonesa,Album,Chocolate,,"salsa, latin",1857e17a-9a17-4397-8df9-fccf2d277a02
Viva la salsa - Fania,Album,Fania All-Stars,,"salsa, latin",64b22d1b-9752-4e04-9f6a-fd305170cdc3
Caliente‐Caliente‐Caliente,Album,Mario Allison y sus Estrellas,,"salsa, latin",9a2d996e-7744-4b15-8e03-9d2a475441da
49 Minutes,Album,Willie Colón,,"salsa, latin",
En la salsa,Album,La Renovación,,"salsa, latin",88140627-f7b6-4aa5-a274-c35e515c6e95
Flores / La negra Caridad,Single,Orquesta Flamboyant,,"salsa, latin",78dc2041-522b-4c36-b206-df99b61855ff
S.E.R.A.,Single,La Conspiracion,,"salsa, latin",0e08adc0-251a-442a-ab8f-77cb3560e4fd
"Dance Hits Salsa, Volume 1",Album,Various Artists,,"salsa, latin",d0c80bf1-3fca-4a0b-87ae-a4fb19242157
Salsa de Cuba,Album,Various Artists,,"salsa, latin",506037d0-31c8-41f4-9b35-21878c4633e1
Los 3 grandes de la salsa,Album,Various Artists,,"salsa, latin",036c4a49-2d61-446f-9a97-230f6ebca998
Temas universales de la salsa,Album,Various Artists,,"salsa, latin",6b1e08b0-30fc-44c9-ab22-7bbdf848877e
Vera Cuba,Album,Manolito y su Trabuco,,"salsa, latin, timba",98bc7522-7377-4ae7-aca4-2a6c3e59fb01
Ray Barretto,Album,Ray Barretto,,"salsa, latin, mambo",6e30a1ae-bb15-492c-943f-a97f8f193d57
"Solitario / Chicago, Latino",Single,Orquesta La Union,,"salsa, latin, guaguancó",6f7e5302-f501-45b4-bcc6-05dbfccd6776
De verdad: 15 super éxitos,Album,Eddie Santiago,,"pop, salsa, latin",ae1c6a68-5698-4a3d-9683-155f11b4b0bf
Aguzante,Album,Carlos Miranda Y El Supercombo Angelito,,"salsa, latin, cumbia",50d89b8a-7ee1-4adc-b8d1-87f008b08b57
Baile hoy,Album,Alexis y su Bonche,,"salsa, latin, guaguancó",caba8372-0e14-4a59-8487-b88fd6832f29
La Compilation Vol. 1,Album,Gnonnas Pedro,,"salsa, latin, highlife",5d9ba35d-64da-44f1-87a0-0cff4a2fbc89
Domingo tropical 2,Album,DJ Cochano,,"salsa, latin, bachata",7c13248b-63e0-4349-9e13-2d1878920977
La Reine des Rythmes Tropicaux,Album,Celia Cruz,,"salsa, latin, mambo",6cb22ee5-19a3-4110-b3ca-fa6f0a708b3d
Merengue y salsa en la Calle 8,Album,Various Artists,,"salsa, latin, merengue",cb857e0e-0815-4c16-823c-a5f7a8aa1c71
El alacrán / Asi mueren los valientes,Single,Ray Pérez,,"jazz, salsa, latin, guaguancó",5d8b4171-6640-4cf9-9e40-19a3a31cb053
Los Imperial En Caracas,Album,Los Imperials En Caracas,,"salsa, latin, cumbia, guaracha",
"Eric Arconte presente ""Transformation"" et Le Chanteur Edouard Marie-Sainte",Album,Eric Arconte,,"jazz, fusion, salsa, latin",7ed149f1-a1aa-41fe-8f48-cd809dc57a13
A todo tren,Album,Los Diablos Rojos,,"salsa, latin, cumbia, guaracha",e2e855ba-7f4d-4d0a-8f44-86be003efa21
"Descargas at the Village Gate Live, Vol. 3",Album,Tico All-Stars,,"salsa, latin, descarga, boogaloo",170616ca-7cec-484b-af34-6505bb8d52fc
Interpreta a: Pedro Romero,Album,Santiago Ceron,,"salsa, latin, bolero, guaguancó",d42b1bd6-5a8c-4523-9a1a-83f9f671f5ed
Kob'e Pos,Album,Tipiko Santa Rosa,,"folk, salsa, latin, merengue",8003ce2e-c34b-416a-b2a6-cad6d58bd4c4
Introducing David Cedeno And His Orchestra,Album,David Cedeño,,"soul, salsa, latin, guaguancó",
